Date,Fechamento,Máxima,Mínima,Abertura,Volume
1999-12-06,11225.009765625,11297.7998046875,11193.509765625,11286.7900390625,134760000
1999-12-07,11106.650390625,11253.4501953125,11106.650390625,11221.650390625,169040000
1999-12-08,11068.1201171875,11171.7900390625,11068.1201171875,11107.259765625,148810000
1999-12-09,11134.7900390625,11204.2099609375,11054.66015625,11073.6201171875,177980000
1999-12-10,11224.7001953125,11274.5498046875,11118.26953125,11137.849609375,170110000
1999-12-13,11192.58984375,11250.3896484375,11162.3095703125,11217.4599609375,149860000
1999-12-14,11160.169921875,11235.7099609375,11143.0498046875,11195.33984375,200620000
1999-12-15,11225.3203125,11282.2001953125,11130.509765625,11158.7802734375,234240000
1999-12-16,11244.8896484375,11244.8896484375,11124.3896484375,11224.400390625,190760000
1999-12-17,11257.4296875,11383.740234375,11257.4296875,11257.4296875,274050000
1999-12-20,11144.26953125,11310.0302734375,11110.9296875,11254.5,131240000
1999-12-21,11200.5400390625,11237.849609375,11098.009765625,11142.4296875,141380000
1999-12-22,11203.599609375,11260.1796875,11181.8896484375,11199.4501953125,115110000
1999-12-23,11405.759765625,11443.0703125,11202.0703125,11202.0703125,97860000
1999-12-27,11391.080078125,11475.1796875,11380.599609375,11410.650390625,111500000
1999-12-28,11476.7099609375,11517.3896484375,11382.2099609375,11389.240234375,91560000
1999-12-29,11484.66015625,11543.080078125,11425.6396484375,11472.8798828125,69880000
1999-12-30,11452.8603515625,11568.76953125,11446.740234375,11484.3603515625,67600000
1999-12-31,11497.1201171875,11542.41015625,11442.8203125,11453.48046875,43620000
2000-01-03,11357.509765625,11522.009765625,11305.6904296875,11501.849609375,169750000
2000-01-04,10997.9296875,11350.0595703125,10986.4501953125,11349.75,178420000
2000-01-05,11122.650390625,11215.099609375,10938.669921875,10989.3701171875,203190000
2000-01-06,11253.259765625,11313.4501953125,11098.4501953125,11113.3701171875,176550000
2000-01-07,11522.5595703125,11528.1396484375,11239.919921875,11247.0595703125,184900000
2000-01-10,11572.2001953125,11638.2802734375,11532.48046875,11532.48046875,168180000
2000-01-11,11511.080078125,11663.099609375,11502.7001953125,11568.4697265625,177300000
2000-01-12,11551.099609375,11612.5302734375,11505.1796875,11506.73046875,194060000
2000-01-13,11582.4296875,11656.580078125,11524.1103515625,11558.240234375,174910000
2000-01-14,11722.98046875,11750.2802734375,11612.5302734375,11619.349609375,266830000
2000-01-18,11560.7197265625,11720.1201171875,11546.4501953125,11719.1904296875,200220000
